airline,Airline_Name,month_year,polarity,overall_rating
AA,American Airlines Inc.,1-1-2014,0.0831651710698,4.31707317073
AA,American Airlines Inc.,1-1-2015,0.0831699727849,3.52380952381
AA,American Airlines Inc.,1-10-2014,0.0624693084948,3.09090909091
AA,American Airlines Inc.,1-11-2014,0.108636581117,4.75
AA,American Airlines Inc.,1-12-2013,0.0884616991311,4.34482758621
AA,American Airlines Inc.,1-12-2014,0.0555996316737,4.45
AA,American Airlines Inc.,1-2-2014,0.128041423465,3.4
AA,American Airlines Inc.,1-2-2015,0.0814193416142,3.33333333333
AA,American Airlines Inc.,1-3-2014,0.0703659279504,3.94285714286
AA,American Airlines Inc.,1-3-2015,0.0939746458448,3.46666666667
AA,American Airlines Inc.,1-4-2014,0.156197222553,4.64705882353
AA,American Airlines Inc.,1-4-2015,0.0335667441102,2.8275862069
AA,American Airlines Inc.,1-5-2014,0.0216358686441,2.82857142857
AA,American Airlines Inc.,1-5-2015,0.0504228452926,2.81818181818
AA,American Airlines Inc.,1-6-2014,0.0706034375064,4.07692307692
AA,American Airlines Inc.,1-6-2015,0.0517432712628,3.19444444444
AA,American Airlines Inc.,1-7-2014,0.0747012487244,3.2972972973
AA,American Airlines Inc.,1-7-2015,0.065124351128,2.6511627907
AA,American Airlines Inc.,1-8-2014,0.0683520726072,4.15384615385
AA,American Airlines Inc.,1-8-2015,0.075,1.0
AA,American Airlines Inc.,1-9-2014,0.100998664265,4.19230769231
AS,Alaska Airlines Inc.,1-1-2011,0.107019230769,5.16666666667
AS,Alaska Airlines Inc.,1-1-2012,0.1525,4.0
AS,Alaska Airlines Inc.,1-1-2013,0.306072631073,7.2
AS,Alaska Airlines Inc.,1-1-2014,0.0555555555556,9.0
AS,Alaska Airlines Inc.,1-1-2015,0.241526451295,8.28571428571
AS,Alaska Airlines Inc.,1-10-2010,0.223245614035,9.0
AS,Alaska Airlines Inc.,1-10-2011,0.0661963036963,6.25
AS,Alaska Airlines Inc.,1-10-2012,0.20625,5.0
AS,Alaska Airlines Inc.,1-10-2013,0.233615689866,8.5
AS,Alaska Airlines Inc.,1-10-2014,0.206049206349,7.2
AS,Alaska Airlines Inc.,1-11-2010,-0.0213888888889,7.0
AS,Alaska Airlines Inc.,1-11-2012,0.36875,7.0
AS,Alaska Airlines Inc.,1-11-2013,0.327513227513,9.66666666667
AS,Alaska Airlines Inc.,1-11-2014,0.306666666667,7.0
AS,Alaska Airlines Inc.,1-12-2010,0.158657537089,6.66666666667
AS,Alaska Airlines Inc.,1-12-2012,0.103596230159,3.0
AS,Alaska Airlines Inc.,1-12-2013,0.257388592391,8.14285714286
AS,Alaska Airlines Inc.,1-12-2014,0.203107606679,7.0
AS,Alaska Airlines Inc.,1-2-2011,0.285486767021,8.75
AS,Alaska Airlines Inc.,1-2-2012,0.191666666667,1.5
AS,Alaska Airlines Inc.,1-2-2013,0.0431036556037,3.0
AS,Alaska Airlines Inc.,1-2-2014,0.0267361111111,7.0
AS,Alaska Airlines Inc.,1-2-2015,0.116666666667,1.0
AS,Alaska Airlines Inc.,1-3-2011,0.140972222222,2.33333333333
AS,Alaska Airlines Inc.,1-3-2012,-0.142361111111,4.0
AS,Alaska Airlines Inc.,1-3-2013,0.108389437042,5.42857142857
AS,Alaska Airlines Inc.,1-3-2014,0.207857142857,2.5
AS,Alaska Airlines Inc.,1-3-2015,0.3821875,10.0
AS,Alaska Airlines Inc.,1-4-2011,0.187420634921,3.0
AS,Alaska Airlines Inc.,1-4-2012,-0.0412952065296,4.25
AS,Alaska Airlines Inc.,1-4-2013,0.204280045351,6.71428571429
AS,Alaska Airlines Inc.,1-4-2014,0.199686798541,7.16666666667
AS,Alaska Airlines Inc.,1-4-2015,0.0127030104971,5.33333333333
AS,Alaska Airlines Inc.,1-5-2011,0.0566989087302,2.33333333333
AS,Alaska Airlines Inc.,1-5-2012,0.0437533068783,6.0
AS,Alaska Airlines Inc.,1-5-2013,0.0413626814362,4.66666666667
AS,Alaska Airlines Inc.,1-5-2014,0.276726325758,9.5
AS,Alaska Airlines Inc.,1-5-2015,0.335545935546,9.33333333333
AS,Alaska Airlines Inc.,1-6-2011,0.0648481267507,6.0
AS,Alaska Airlines Inc.,1-6-2012,0.23243844697,5.25
AS,Alaska Airlines Inc.,1-6-2013,0.293792045617,6.0
AS,Alaska Airlines Inc.,1-6-2014,0.317971906566,9.25
AS,Alaska Airlines Inc.,1-6-2015,0.501041666667,9.0
AS,Alaska Airlines Inc.,1-7-2010,0.403571428571,10.0
AS,Alaska Airlines Inc.,1-7-2011,-0.0183328952793,3.57142857143
AS,Alaska Airlines Inc.,1-7-2012,0.0228454184704,2.28571428571
AS,Alaska Airlines Inc.,1-7-2013,0.409016479552,6.5
AS,Alaska Airlines Inc.,1-7-2014,0.367449494949,7.2
AS,Alaska Airlines Inc.,1-7-2015,0.217498989451,7.0
AS,Alaska Airlines Inc.,1-8-2010,0.175,6.0
AS,Alaska Airlines Inc.,1-8-2011,0.316970727685,6.28571428571
AS,Alaska Airlines Inc.,1-8-2012,-0.00643262987013,1.5
AS,Alaska Airlines Inc.,1-8-2013,0.134515123753,6.14285714286
AS,Alaska Airlines Inc.,1-8-2014,0.162351285969,5.8
AS,Alaska Airlines Inc.,1-9-2010,0.375,5.0
AS,Alaska Airlines Inc.,1-9-2011,0.140833333333,9.0
AS,Alaska Airlines Inc.,1-9-2012,0.228929496883,5.0
AS,Alaska Airlines Inc.,1-9-2013,0.288814484127,8.66666666667
AS,Alaska Airlines Inc.,1-9-2014,0.0444143356643,7.0
B6,JetBlue Airways,1-1-2011,0.333784271284,10.0
B6,JetBlue Airways,1-1-2012,0.350446428571,9.0
B6,JetBlue Airways,1-1-2013,0.106774891775,4.6
B6,JetBlue Airways,1-1-2014,0.157280643739,1.0
B6,JetBlue Airways,1-1-2015,0.292129411765,9.2
B6,JetBlue Airways,1-10-2010,0.113003341688,5.66666666667
B6,JetBlue Airways,1-10-2011,0.194411375661,8.0
B6,JetBlue Airways,1-10-2012,0.215,8.0
B6,JetBlue Airways,1-10-2013,0.282469169719,9.2
B6,JetBlue Airways,1-10-2014,0.354791042291,8.25
B6,JetBlue Airways,1-11-2011,0.1625,5.0
B6,JetBlue Airways,1-11-2012,0.378645833333,9.0
B6,JetBlue Airways,1-11-2013,0.241527777778,8.2
B6,JetBlue Airways,1-11-2014,0.437696544984,9.33333333333
B6,JetBlue Airways,1-12-2010,0.349181547619,10.0
B6,JetBlue Airways,1-12-2011,0.347032828283,7.0
B6,JetBlue Airways,1-12-2012,0.0166666666667,0.0
B6,JetBlue Airways,1-12-2013,0.265596784168,5.85714285714
B6,JetBlue Airways,1-12-2014,0.26125,9.5
B6,JetBlue Airways,1-2-2011,0.0113095238095,6.0
B6,JetBlue Airways,1-2-2012,0.271836419753,8.33333333333
B6,JetBlue Airways,1-2-2013,0.413650793651,7.33333333333
B6,JetBlue Airways,1-2-2014,0.142227272727,2.0
B6,JetBlue Airways,1-2-2015,0.147854823748,5.0
B6,JetBlue Airways,1-3-2011,0.548333333333,8.0
B6,JetBlue Airways,1-3-2012,0.106770833333,9.5
B6,JetBlue Airways,1-3-2013,0.316586174242,8.5
B6,JetBlue Airways,1-3-2014,0.241582491582,7.0
B6,JetBlue Airways,1-3-2015,0.129087000962,6.25
B6,JetBlue Airways,1-4-2011,0.27898027898,8.0
B6,JetBlue Airways,1-4-2012,0.107885586636,8.0
B6,JetBlue Airways,1-4-2013,0.439393939394,10.0
B6,JetBlue Airways,1-4-2014,0.00646749084249,5.5
B6,JetBlue Airways,1-4-2015,0.264619938885,8.0
B6,JetBlue Airways,1-5-2012,0.467948717949,9.0
B6,JetBlue Airways,1-5-2013,0.166159880617,6.55555555556
B6,JetBlue Airways,1-5-2014,0.0124766313933,1.16666666667
B6,JetBlue Airways,1-5-2015,0.08125,1.0
B6,JetBlue Airways,1-6-2010,0.0628564213564,10.0
B6,JetBlue Airways,1-6-2011,0.376574960128,8.5
B6,JetBlue Airways,1-6-2012,0.239158896659,7.2
B6,JetBlue Airways,1-6-2013,0.334300595238,10.0
B6,JetBlue Airways,1-6-2014,0.11719047619,4.4
B6,JetBlue Airways,1-6-2015,0.0662878787879,4.0
B6,JetBlue Airways,1-7-2010,0.278572180135,8.75
B6,JetBlue Airways,1-7-2011,0.09865047871,5.83333333333
B6,JetBlue Airways,1-7-2012,0.193815135482,4.44444444444
B6,JetBlue Airways,1-7-2013,0.15200998076,2.8
B6,JetBlue Airways,1-7-2014,0.294515785802,5.71428571429
B6,JetBlue Airways,1-7-2015,0.227152506059,5.83333333333
B6,JetBlue Airways,1-8-2010,0.253622727581,4.66666666667
B6,JetBlue Airways,1-8-2011,0.0515568310658,4.75
B6,JetBlue Airways,1-8-2012,0.305126262626,9.0
B6,JetBlue Airways,1-8-2013,0.00816077441077,2.66666666667
B6,JetBlue Airways,1-8-2014,0.0608030990174,3.71428571429
B6,JetBlue Airways,1-9-2010,0.311607142857,9.0
B6,JetBlue Airways,1-9-2011,0.124941211052,6.33333333333
B6,JetBlue Airways,1-9-2012,0.306904987374,9.25
B6,JetBlue Airways,1-9-2013,0.270451388889,6.0
B6,JetBlue Airways,1-9-2014,0.129041666667,5.8
CO,Continental Air Lines Inc.,1-1-2011,0.0785263562496,4.71428571429
CO,Continental Air Lines Inc.,1-1-2012,0.0658684733076,4.81818181818
CO,Continental Air Lines Inc.,1-10-2011,0.160761717706,6.88888888889
CO,Continental Air Lines Inc.,1-11-2011,0.0954338796125,3.5
CO,Continental Air Lines Inc.,1-12-2011,0.112605553714,4.76923076923
CO,Continental Air Lines Inc.,1-2-2011,0.0699214785552,4.16666666667
CO,Continental Air Lines Inc.,1-2-2012,0.133217248963,4.81818181818
CO,Continental Air Lines Inc.,1-3-2011,0.0906747797657,4.77777777778
CO,Continental Air Lines Inc.,1-3-2012,0.187749542125,4.75
CO,Continental Air Lines Inc.,1-4-2011,0.188241074769,4.11111111111
CO,Continental Air Lines Inc.,1-4-2012,0.05,1.0
CO,Continental Air Lines Inc.,1-5-2011,0.0637272350665,4.28571428571
CO,Continental Air Lines Inc.,1-5-2012,0.373287037037,7.66666666667
CO,Continental Air Lines Inc.,1-6-2011,-0.00642361111111,2.66666666667
CO,Continental Air Lines Inc.,1-6-2012,-0.16,2.0
CO,Continental Air Lines Inc.,1-7-2011,0.269902146465,3.5
CO,Continental Air Lines Inc.,1-8-2011,-0.015968407144,3.04761904762
CO,Continental Air Lines Inc.,1-9-2011,0.035156771506,3.25
DL,Delta Air Lines Inc.,1-1-2014,0.18608232332,5.3
DL,Delta Air Lines Inc.,1-1-2015,0.137121645835,5.76
DL,Delta Air Lines Inc.,1-10-2013,0.163223146275,5.5
DL,Delta Air Lines Inc.,1-10-2014,0.20542307293,5.88235294118
DL,Delta Air Lines Inc.,1-11-2013,0.151183533398,5.15
DL,Delta Air Lines Inc.,1-11-2014,0.216491268224,6.13333333333
DL,Delta Air Lines Inc.,1-12-2013,0.172170783767,5.4347826087
DL,Delta Air Lines Inc.,1-12-2014,0.0731363738365,5.14285714286
DL,Delta Air Lines Inc.,1-2-2014,0.173196217924,4.76470588235
DL,Delta Air Lines Inc.,1-2-2015,0.2329894246,6.21428571429
DL,Delta Air Lines Inc.,1-3-2014,0.215873169943,6.05
DL,Delta Air Lines Inc.,1-3-2015,0.0452807086315,3.28571428571
DL,Delta Air Lines Inc.,1-4-2014,0.0984150542758,4.47058823529
DL,Delta Air Lines Inc.,1-4-2015,0.209312507219,5.82352941176
DL,Delta Air Lines Inc.,1-5-2014,0.109576385442,5.15384615385
DL,Delta Air Lines Inc.,1-5-2015,0.13814522741,4.16666666667
DL,Delta Air Lines Inc.,1-6-2014,0.158257895992,4.92592592593
DL,Delta Air Lines Inc.,1-6-2015,0.11060783843,5.15789473684
DL,Delta Air Lines Inc.,1-7-2014,0.15120330903,4.04545454545
DL,Delta Air Lines Inc.,1-7-2015,0.173544395279,5.24390243902
DL,Delta Air Lines Inc.,1-8-2014,0.166911187608,4.47619047619
DL,Delta Air Lines Inc.,1-8-2015,-0.175,1.0
DL,Delta Air Lines Inc.,1-9-2013,0.0510142343037,5.25
DL,Delta Air Lines Inc.,1-9-2014,0.181958573483,4.80952380952
F9,Frontier Airlines Inc.,1-1-2013,0.0824851190476,4.33333333333
F9,Frontier Airlines Inc.,1-1-2014,0.0761116807169,1.15384615385
F9,Frontier Airlines Inc.,1-1-2015,0.0274976808905,1.64285714286
F9,Frontier Airlines Inc.,1-10-2012,0.21474011827,3.0
F9,Frontier Airlines Inc.,1-10-2013,0.0649005118146,0.9375
F9,Frontier Airlines Inc.,1-10-2014,0.0385781039948,2.5
F9,Frontier Airlines Inc.,1-11-2012,0.143373015873,0.5
F9,Frontier Airlines Inc.,1-11-2013,0.070239222583,1.25
F9,Frontier Airlines Inc.,1-11-2014,0.0713157367324,3.44444444444
F9,Frontier Airlines Inc.,1-12-2012,0.141727321847,1.83333333333
F9,Frontier Airlines Inc.,1-12-2013,0.0731819503623,1.375
F9,Frontier Airlines Inc.,1-12-2014,0.0211211820587,2.75
F9,Frontier Airlines Inc.,1-2-2013,0.078125,4.0
F9,Frontier Airlines Inc.,1-2-2014,-0.028903004829,0.2
F9,Frontier Airlines Inc.,1-2-2015,0.0243891632832,1.0
F9,Frontier Airlines Inc.,1-3-2012,0.147407407407,4.0
F9,Frontier Airlines Inc.,1-3-2013,0.0195603354978,2.33333333333
F9,Frontier Airlines Inc.,1-3-2014,0.135409722222,3.91666666667
F9,Frontier Airlines Inc.,1-3-2015,0.0208684893053,1.0
F9,Frontier Airlines Inc.,1-4-2012,-0.0078125,5.5
F9,Frontier Airlines Inc.,1-4-2013,0.0218760393046,4.6
F9,Frontier Airlines Inc.,1-4-2014,0.028363099978,2.0
F9,Frontier Airlines Inc.,1-4-2015,0.00857876902755,3.78571428571
F9,Frontier Airlines Inc.,1-5-2013,-0.0191290280233,2.46153846154
F9,Frontier Airlines Inc.,1-5-2014,0.0663643664713,2.94117647059
F9,Frontier Airlines Inc.,1-5-2015,0.153877587112,4.4
F9,Frontier Airlines Inc.,1-6-2012,0.24250701459,6.66666666667
F9,Frontier Airlines Inc.,1-6-2013,0.18404978355,7.6
F9,Frontier Airlines Inc.,1-6-2014,0.0547356065826,2.23529411765
F9,Frontier Airlines Inc.,1-6-2015,0.00989599268735,1.42105263158
F9,Frontier Airlines Inc.,1-7-2012,0.00945707070707,6.0
F9,Frontier Airlines Inc.,1-7-2013,0.0980138888889,2.3
F9,Frontier Airlines Inc.,1-7-2014,0.102564781605,2.78947368421
F9,Frontier Airlines Inc.,1-7-2015,0.056745423694,1.8
F9,Frontier Airlines Inc.,1-8-2012,0.103334498834,2.6
F9,Frontier Airlines Inc.,1-8-2013,0.133556311413,2.5
F9,Frontier Airlines Inc.,1-8-2014,0.11189507287,3.13636363636
F9,Frontier Airlines Inc.,1-8-2015,-0.233333333333,1.0
F9,Frontier Airlines Inc.,1-9-2012,-0.05,3.66666666667
F9,Frontier Airlines Inc.,1-9-2013,0.0895208276298,2.58333333333
F9,Frontier Airlines Inc.,1-9-2014,0.0574334190842,2.57142857143
HA,Hawaiian Airlines Inc.,1-1-2011,0.208721218885,6.25
HA,Hawaiian Airlines Inc.,1-1-2012,0.11341013379,6.5
HA,Hawaiian Airlines Inc.,1-1-2013,0.198653978345,5.88888888889
HA,Hawaiian Airlines Inc.,1-1-2014,0.0699747474747,5.5
HA,Hawaiian Airlines Inc.,1-1-2015,0.0489204545455,4.5
HA,Hawaiian Airlines Inc.,1-10-2010,0.4125,8.0
HA,Hawaiian Airlines Inc.,1-10-2011,0.0838541666667,2.0
HA,Hawaiian Airlines Inc.,1-10-2012,0.201910425155,5.33333333333
HA,Hawaiian Airlines Inc.,1-10-2013,0.146478347506,6.6
HA,Hawaiian Airlines Inc.,1-10-2014,-0.0537916666667,5.0
HA,Hawaiian Airlines Inc.,1-11-2012,0.04375,0.0
HA,Hawaiian Airlines Inc.,1-11-2013,0.135035241484,6.16666666667
HA,Hawaiian Airlines Inc.,1-11-2014,0.0523980528851,3.57142857143
HA,Hawaiian Airlines Inc.,1-12-2010,-0.147222222222,3.0
HA,Hawaiian Airlines Inc.,1-12-2011,-0.188194444444,1.5
HA,Hawaiian Airlines Inc.,1-12-2012,0.259052220927,7.75
HA,Hawaiian Airlines Inc.,1-12-2013,0.19711208764,6.0
HA,Hawaiian Airlines Inc.,1-12-2014,0.285739750446,6.5
HA,Hawaiian Airlines Inc.,1-2-2010,0.247186147186,5.0
HA,Hawaiian Airlines Inc.,1-2-2011,0.261875,4.0
HA,Hawaiian Airlines Inc.,1-2-2012,0.25428030303,5.5
